County_FIPS,Medicaid,SVI,YPLL,Unemp,Covid_last_14,Cum_Covid_death_in_July,Cum_Covid_death_in_August,Cum_Covid_death_in_September
24009,16638.385750798763,0.02737363632533946,7017.0,6.1,109.15968657119699,2181.0321534720347,3119.156984598757,4027.019724398811
24013,14593.423782535809,0.027587985901394656,6692.0,6.0,68.86439057982629,5729.398564533652,7916.436623982618,10121.284439616022
24015,25297.962704839687,0.03802544858298183,9241.0,6.8,147.78085654562247,2265.3249720480285,3183.121870594526,4127.169316027417
24021,15508.536789929205,0.033915718886752745,6002.0,6.9,107.88026831363875,4023.1634347536287,5479.161770315203,6965.983039680675
24023,30758.11978846386,0.03578856660984434,6884.0,7.0,110.2915833735438,6.893223960846488,6.893223960846488,79.27207554973461
24025,17906.571239119796,0.03227982972901123,6834.0,6.8,94.34663973285416,1930.778535943721,2766.1964993873344,3638.805046958006
24035,16711.875648825207,0.028678869598982578,7136.0,6.2,101.22863778011552,2880.053988606816,4460.014688076854,6008.217383537444
24037,17659.359142282065,0.03543170865342723,6761.0,6.1,48.453880715355474,2837.6354506210905,4276.275218042463,5773.059642322262
24043,28710.28473132663,0.04354708356772165,8547.0,7.6,139.6897695449821,1239.332931697661,1881.5086495110857,2591.212123218293
24003,16161.530339537247,0.03616201467743945,6809.0,6.9,148.64458923336682,3051.443803367896,4268.223205129533,5523.501728144412
24005,22115.369912394195,0.04185188455945011,8091.0,8.0,136.6982124079916,4487.472352152,6643.339739173526,8872.572126134619
24011,38348.30927391659,0.04312693009538492,9122.0,6.1,119.73896904747649,458.0015566065976,736.3946596419805,1107.5854636891575
24017,17896.330153837727,0.03340561284225298,7351.0,8.1,99.23004832870872,4669.3250519120165,6420.551645564968,8202.404797344065
24027,13365.737461656658,0.03791733878365153,4160.0,6.3,99.78814209831435,2082.9623261383526,3160.981301237373,4262.94943043999
24041,22206.6148420866,0.03370769788542446,6533.0,6.5,118.34001237191038,804.1741749818456,1137.677846211775,1533.0410693633846
24045,35447.311616629406,0.051409645188710586,9179.0,7.4,220.05810306054494,2902.257525890608,4262.177996120028,5647.1928114352995
24001,32821.455147457455,0.045925374660576244,9202.0,8.3,127.8118609406953,2144.3990002272208,2976.5962281299708,3908.202681208816
24019,40061.0102518111,0.046789454935060384,9920.0,7.7,291.27125810391806,1171.3489304394125,1672.4607723386264,2511.8231075198096
24047,25543.262142231386,0.04535168969788849,8846.0,9.2,131.99173616956156,2352.89616650088,3598.209503405004,5092.202922947433
24029,27616.222671208187,0.04316621953007845,6888.0,7.7,92.67840593141798,9175.16218721038,12856.554422819483,16563.6906600762
24031,17689.71757039308,0.051224337345677884,4105.0,7.7,130.48592921971127,5822.851312663703,8206.432356703417,10588.966467685936
24033,25124.915971133007,0.05769199272638055,6864.0,9.8,146.0420728736747,6229.002328095394,8841.59383808025,11522.587584004434
24039,31239.890844654517,0.06997430251687058,9953.0,8.6,269.3628981886321,804.1848844472205,1175.046845721424,1659.1193004372267
24510,43112.0872680081,0.059666656699697625,13652.0,10.3,124.18069386173315,4692.5811723870665,6985.121906013581,9391.059664021297
